"Sample_ID","Group","Activated B cell","Immature B cell","Memory B cell","Activated CD4 T cell","Activated CD8 T cell","Eosinophil","Macrophage","Mast cell","MDSC","Monocyte","Natural killer cell","Neutrophil","Plasmacytoid dendritic cell","T follicular helper cell","Type 1 T helper cell","Type 17 T helper cell","Type 2 T helper cell","Activated dendritic cell","Regulatory T cell","NK T cell","Immature dendritic cell","Macrophage M1"
"GSM225652","Control",-0.375133697354371,0.192789162744673,-0.0699759000780108,-0.224063195434341,-0.302574533763846,-0.124629760127032,-0.0154519861710414,-0.34870791362803,0.114136626542308,0.0766479143999788,-0.149093891032231,-0.0958235837960954,-0.211622783718352,-0.365449933446222,-0.344915931622717,-0.471174483804755,-0.495635048364392,-0.0217585382019165,-0.455773525602841,-0.398873009274521,-0.152368519061112,-0.13823148323514
"GSM225662","Control",-0.232124460096342,0.201504075442406,-0.0463526160528415,-0.20174302366333,-0.219973773721713,-0.0965384639983537,0.0321157357183485,-0.227565168810932,0.183876790725027,-0.0886856136830508,-0.0928477885441497,-0.0450622917852498,-0.066339141335461,-0.252172063987406,-0.266059730508528,-0.408929506715106,-0.39204243616648,-0.0839837846580405,-0.463423562237029,-0.499025808129331,-0.169245594752546,-0.259937928563075
"GSM225664","Control",-0.244336451788403,0.01806788523449,0.0594565790693946,-0.125994592032924,-0.186899031724835,-0.155610209848241,-0.080049754555507,-0.251861074039869,0.114402300000485,-0.1464610371263,-0.0868843723755391,-0.267370115227879,-0.215402053079391,-0.24120531292366,-0.33653215697911,-0.471365792670393,-0.391961827206672,-0.0578827253653188,-0.33120246753209,-0.406582610221953,-0.102975657518221,-0.129874098230681
"GSM225665","Control",-0.339920167278647,0.145176080365155,0.107036671224541,-0.22030466951376,-0.255651763946288,-0.15864943059727,-0.111161701832324,-0.398339451927551,0.146560904194972,-0.203516511893732,-0.0782588459626268,-0.17863606740841,-0.346122879198854,-0.283616540094343,-0.209096150008877,-0.35177812018613,-0.356607935351167,-0.164919724377275,-0.360446207395592,-0.515655854589886,-0.245204409230619,-0.263686247663295
"GSM225666","Control",-0.422618461345996,-0.00198911461456708,-0.0454405680009093,-0.284772439622009,-0.342463986838327,-0.207762094229105,-0.0729459628889382,-0.377331807318676,-0.03147705703558,-0.042293739465614,-0.193551580981666,-0.289631791016327,-0.268538543824445,-0.33849508079928,-0.387649677909211,-0.409694967344489,-0.43095331278003,-0.068729545726772,-0.572190111262694,-0.532451786800672,-0.200041086809062,-0.2422918549873
"GSM225667","Control",-0.313268825028348,0.00865978671956844,0.0469705612112764,-0.263688993821838,-0.274840993994955,-0.198668034840112,-0.0132443920021326,-0.3678626308511,-0.00611569092089232,-0.110536055142326,-0.186485594122055,-0.266963473597541,-0.163727444395006,-0.261981107188315,-0.341100064155137,-0.336539725869887,-0.461814147455343,-0.0766497998960149,-0.371059573177907,-0.404399819367109,-0.196261627245304,-0.233769785019688
"GSM225668","Control",-0.361416840368255,-0.0267386660206591,-0.0507554190631495,-0.332646256101568,-0.367301055898467,-0.174869354424077,-0.0962272395264174,-0.430672537372799,-0.0737666183373988,-0.121959515273459,-0.232457051582947,-0.287955819664602,-0.270792409348656,-0.412846436716353,-0.38345212678108,-0.395507582458781,-0.461206075323993,-0.0481946149273031,-0.48178516247384,-0.6628106166111,-0.270246338459385,-0.165361286371865
"GSM225669","Control",-0.356327123599686,0.0934823181502066,-0.0567135457663327,-0.277577035863064,-0.24354722855368,-0.16669882657183,-0.0029514599163495,-0.27123106262178,0.13755492443404,0.0110587928609163,-0.21642128043018,-0.147107047728166,-0.118716530424864,-0.242563927375851,-0.361373138378276,-0.436050386068576,-0.409086196528005,-0.0298370086315399,-0.486541182585408,-0.485857932193768,-0.257233037747486,-0.125704374361005
"GSM225670","Control",-0.31877652272287,0.180791311696854,0.0829198628465619,-0.19300988534725,-0.22315473559364,-0.159269998145116,-0.0526440325182648,-0.432682045068595,0.122217154406241,-0.114055645505104,-0.0932484817214222,-0.198483314396752,-0.22726331802382,-0.264904603433389,-0.342823041855139,-0.367494230452028,-0.393355956469359,-0.108959681748056,-0.440446409439328,-0.52270599897466,-0.238575621230404,-0.193160808610316
"GSM225671","Control",-0.315598455937781,0.126127437752396,0.00454995445792979,-0.277696175938523,-0.135997667028655,-0.235326700450313,-0.0634087799654958,-0.317806961671848,0.100179456058175,-0.24439401957821,-0.129420597548838,-0.298515384344213,-0.350465198600522,-0.257011456679937,-0.27453786907806,-0.423333978018323,-0.372692060047201,-0.0819213606349853,-0.274019111465912,-0.515365554526984,-0.376661957021022,-0.169087377283367
